gene,tumor_enrichment,CI_lower,CI_upper
Pten,1.4315107997784535,1.2004912555030725,1.7858451657958565
Lkb1,1.0438999202407468,0.940645772633014,1.1527845010843123
Nf1,0.9940415683717244,0.8927620697982932,1.103729050462218
Setd2,0.9237088764867364,0.8483444667931419,1.092228030102332
Stag2,0.9054233164978313,0.798746199578103,1.0374452099075735
KrasWT,0.9527664690920412,0.9124040165547213,1.0211754925734324
Tsc1,0.8736432727504967,0.7967063231027062,0.9799545063545272
Rb1,0.961226303869199,0.8116807277611545,1.0810419468098815
Fbxw7,1.1672704303388552,1.096313548773563,1.2324959177364148
Rnf43,0.8624397397480272,0.7607559344187299,0.9808011849004704
Rbm10,0.9150451669328956,0.8588926044985876,0.9855334637577224
Mga,0.8592914185040447,0.8046541663466427,0.9293870427409628
Keap1,0.7796169863208783,0.671015760601942,0.8823193151098935
Kmt2d,1.1602173695833244,0.8546738909493774,1.4560059742861815
Smad4,0.9753035665625508,0.890859859224638,1.0852457261664528
Cmtr2,0.9939389035555882,0.9164396137030302,1.084195223656427
p53,1.2787600601752986,1.074977166611034,1.5837763917927783
Cdkn2a,1.0700784846232252,0.9687484046915126,1.164418219401122
Nf2,0.9421667747010004,0.893619156440008,1.0102208019204273
Apc,1.0102393330326551,0.9102321589592766,1.1437346055501607
Ptprd,0.9744517107614482,0.8892716221278297,1.1544577683170645
Atm,0.9875921577043772,0.8955321272924273,1.1095272169716055
Msh2,0.9188206323259984,0.8294280953892481,1.0962619227255477
Arid2,0.7762211904341222,0.6654681068371082,0.8695426527872919
Kdm6a,0.9518053025200154,0.8859479582735538,1.0263625056635362
Atrx,0.9727268756506944,0.894096920750905,1.088467683210757
Brca2,0.9891771779125964,0.9057221763675404,1.1494754306508383
Palb2,1.0542466108780395,1.0105519313285285,1.121470548833002
