gene,tumor_enrichment,CI_lower,CI_upper
Pten,6.51014010619922,4.885913864246608,9.388141775348124
Lkb1,0.1798987530433963,0.1241725007032763,0.2062931131311403
Nf1,2.4859483062740497,2.256399467862607,2.783172718083332
Setd2,0.7942983885003816,0.5769276877309745,0.935008940196254
Stag2,1.24238251536888,1.1131625547208277,1.3007461959674715
KrasWT,0.2402025111596745,0.2002717231359751,0.2726921765357138
Tsc1,0.694924690244337,0.5423572520320286,0.8221158765559178
Rb1,1.0170453902929542,0.9562703125686678,1.0999977260184368
Fbxw7,1.2668860954889525,1.088744756617556,1.38153735340729
Rnf43,1.1717947572902243,1.0507250038205285,1.3207694377168644
Rbm10,0.8718033330722008,0.7765496646254398,0.9538058008621504
Mga,0.888893674061553,0.8092438839857812,0.9964831790117992
Keap1,0.3161745427553533,0.2492859002222348,0.362339149392885
Kmt2d,2.0527672308073184,1.6546129760703996,2.3762177780902127
Smad4,0.7320532568744376,0.6608292742407729,0.769937862239205
Cmtr2,0.7852080559456516,0.7128100424124812,0.8531152724210235
p53,1.4424336077161548,1.354702922749897,1.652521266687178
Cdkn2a,1.265589577623761,1.2007525393535503,1.342199305671827
Nf2,0.6327638953245369,0.5338422605621467,0.7250850647354844
Apc,0.7988323609754707,0.7273111035533978,0.8754450619109212
Ptprd,1.0636439087166838,1.0152122529548917,1.1027584240733943
Atm,0.8000368288908485,0.67014114560393,0.9264991866970376
Msh2,0.8513730099369591,0.8125998359994788,0.88615104349718
Arid2,0.7929703633023342,0.6488484905675086,0.8705320348869886
Kdm6a,1.3589845543297694,1.2531401093517172,1.495706146173693
Atrx,0.883024030462994,0.8254665502553163,0.9647208230904466
Brca2,0.7002124464946329,0.6389914763532386,0.7501574248795283
Palb2,0.5749105445181382,0.5187463315070192,0.6222905293716026
