gene,tumor_enrichment,CI_lower,CI_upper
Pten,3.0181472578551847,2.689581430396416,3.4389902731228608
Lkb1,0.9050364450091852,0.8133199286479308,1.0270376206438172
Nf1,1.666457608040805,1.547755267510283,1.884204429212395
Setd2,0.990473211485879,0.9213106273369897,1.116655407727274
Stag2,0.9382192459848396,0.8317859059146612,1.126284817770164
KrasWT,1.3218395269527794,1.238079763851634,1.4797193031871816
Tsc1,1.1344320165311967,1.0726325897230504,1.2827445468207566
Rb1,1.0627301773935098,0.9979820015039258,1.1599596048830831
Fbxw7,1.2448838054561768,1.1138867804144097,1.3705394931812165
Rnf43,1.0557540091591695,1.0055123473243668,1.1040822859783397
Rbm10,0.9545445281639062,0.9089643150390632,1.0186947911684154
Mga,1.0382008428943987,0.9828416295670483,1.119409608891092
Keap1,0.9556092226827672,0.9138117848266248,1.0023220931540542
Kmt2d,1.0652306869931396,1.013010898337872,1.1298372686232847
Smad4,0.8159342992347806,0.7890775948815589,0.8553329328356238
Cmtr2,0.9008467922413036,0.8450221258343195,0.9455605531908544
p53,1.4170155602728949,1.312561871991258,1.545692251027568
Cdkn2a,1.147798934018567,1.0986847277089813,1.2170941186000293
Nf2,0.9620454408171664,0.9356079902487958,0.9911093313358512
Apc,0.9577478875365908,0.9075345296159189,0.9957645439552556
Ptprd,0.9840984420974478,0.9570481701593097,1.0217279461309827
Atm,0.9251745003027132,0.886692050999113,0.973662802912698
Msh2,0.9133182873526766,0.8901662878054342,0.937924260179341
Arid2,0.7386461435040229,0.7039171361601815,0.7703660697997106
Kdm6a,1.0112567251477924,0.9626995937237248,1.069916925675189
Atrx,0.9742266006860788,0.9314975968992346,1.024391155740415
Brca2,0.9446621892580838,0.906028414981798,1.0031189115957917
Palb2,0.8952619471006514,0.8434380950358283,0.9341159671239232
